Admin,Active,Semi-Active,Inactive
Joyous!,1,0,0
Jpgordon,1,0,0
Jrdioko,0,1,0
Justlettersandnumbers,1,0,0
Jwrosenzweig,0,1,0
K6ka,1,0,0
KFP,0,1,0
KTC,0,1,0
Kaihsu,1,0,0
KaisaL,0,1,0
Kaiser matias,1,0,0
Kane5187,0,1,0
Kanonkas,0,1,0
Keegan,0,1,0
Keenan Pepper,0,1,0
Keilana,0,1,0
Keith D,1,0,0
Kicking222,0,1,0
King of Hearts,0,1,0
Kingpin13,0,0,1
Kingturtle,0,1,0
Kinu,1,0,0
Kizor,1,0,0
Kj cheetham,1,0,0
Kjkolb,0,1,0
KrakatoaKatie,0,1,0
Kralizec!,0,1,0
Ks0stm,0,1,0
Ktsquare,0,1,0
Kuru,1,0,0
Kurykh,0,0,1
Kusma,1,0,0
KylieTastic,1,0,0
L235,0,1,0
LEvalyn,1,0,0
LFaraone,0,0,1
LadyofShalott,0,1,0
Lar,0,1,0
Larryv,0,1,0
Lectonar,1,0,0
Lee Vilenski,1,0,0
Left guide,1,0,0
Legoktm,1,0,0
Lenticel,1,0,0
Less Unless,1,0,0
Lexicon,0,1,0
Leyo,1,0,0
Liz,1,0,0
Llywrch,1,0,0
Lofty abyss,1,0,0
Lord Roem,0,0,1
Lowellian,0,1,0
Lquilter,0,1,0
LuK3,1,0,0
Luk,0,1,0
Lustiger seth,0,1,0
MER-C,1,0,0
MIDI,1,0,0
MLauba,0,0,1
MPGuy2824,1,0,0
MSGJ,1,0,0
Mackensen,1,0,0
Magog the Ogre,1,0,0
Mahagaja,1,0,0
Maile66,1,0,0
Mailer diablo,0,1,0
Malcolmxl5,1,0,0
Malinaccier,0,1,0
Mandsford,1,0,0
Mark83,0,1,0
Masem,1,0,0
MastCell,0,1,0
Materialscientist,1,0,0
Mattbr,0,1,0
Mattinbgn,0,1,0
Mattythewhite,1,0,0
Maury Markowitz,1,0,0
Maxim,0,0,1
Mazca,0,1,0
Meelar,0,1,0
Megalibrarygirl,1,0,0
Melburnian,0,1,0
Menchi,0,0,1
Meno25,1,0,0
Merge bot,1,0,0
